YEAR,MONTH_NUM,STATE_NAME,TOTAL_FLIGHTS,TOTAL_CO2_EMISSIONS,CO2_PER_FLIGHT
2016,8,CYPRUS,8697.0,115756.446,13.309928251121075
2016,8,DENMARK,23585.0,270046.915,11.449943396226415
2016,8,FINLAND,14527.0,185130.94,12.743920974736698
2016,8,FRANCE,163917.0,1973374.301,12.038862967233417
2016,8,GEORGIA,2668.0,34480.762,12.92382383808096
2016,8,GERMANY,180131.0,2707215.907,15.029150490476376
2016,8,GREECE,64953.0,578552.81,8.90725309069635
2016,8,HUNGARY,9016.0,75373.107,8.359927573203194
2016,8,IRELAND,26210.0,271422.455,10.355683136207555
2016,8,ITALY,109481.0,1353297.191,12.361023291712717
2016,8,LATVIA,6250.0,34886.298,5.581807680000001
2016,8,LITHUANIA,4870.0,27615.097,5.67045112936345
2016,8,LUXEMBOURG,5572.0,120083.823,21.55129630294329
2016,8,MALTA,4804.0,41780.311,8.696983971690258
2016,8,MONTENEGRO,1271.0,21988.29,17.299992132179387
2016,8,NETHERLANDS,50175.0,1013067.913,20.190690842052813
2016,8,NORWAY,41194.0,275900.754,6.697595620721465
2016,8,POLAND,34204.0,234980.959,6.869984767863408
2016,8,PORTUGAL,38923.0,425070.06,10.92079387508671
2016,8,ROMANIA,10426.0,114052.83,10.93927009399578
2016,8,SERBIA,6697.0,37843.785,5.650856353591161
2016,8,SLOVAKIA,2286.0,20204.309,8.838280402449694
2016,8,SLOVENIA,3085.0,11451.86,3.712110210696921
2016,8,SPAIN,194503.0,1696280.857,8.72110382359141
2016,8,SWEDEN,29531.0,275748.722,9.337601909857439
2016,8,SWITZERLAND,40337.0,494830.555,12.267410937848625
2016,8,TÜRKIYE,96214.0,1372893.969,14.269170484544869
2016,8,UNITED KINGDOM,191869.0,3406213.11,17.752805872756934
2016,9,ALBANIA,2150.0,11251.445,5.23323023255814
2016,9,ARMENIA,1809.0,18309.443,10.121306246545052
2016,9,AUSTRIA,29411.0,228924.545,7.783636904559519
2016,9,BELGIUM,29944.0,348636.546,11.642951709858401
2016,9,BOSNIA AND HERZEGOVINA,1064.0,9933.672,9.336157894736843
2016,9,BULGARIA,4856.0,90492.437,18.63518060131796
2016,9,CROATIA,3808.0,63020.347,16.54946087184874
2016,9,CYPRUS,7820.0,106232.738,13.584749104859334
2016,9,DENMARK,24171.0,258107.935,10.67841359480369
2016,9,FINLAND,15084.0,182870.925,12.12350338106603
2016,9,FRANCE,167892.0,1821126.945,10.847014419984276
2016,9,GEORGIA,2462.0,30441.186,12.364413484971568
2016,9,GERMANY,188202.0,2650132.035,14.081317068894062
2016,9,GREECE,54261.0,490911.593,9.047227161312913
2016,9,HUNGARY,8822.0,71335.909,8.0861379505781
2016,9,IRELAND,24806.0,254426.01,10.256631863258889
2016,9,ITALY,106287.0,1254383.365,11.801851261207862
2016,9,LATVIA,6066.0,32594.767,5.373354269699967
2016,9,LITHUANIA,4989.0,29157.75,5.844407696933253
2016,9,LUXEMBOURG,5986.0,120028.864,20.051597728032075
2016,9,MALTA,4416.0,38877.289,8.803733922101449
2016,9,MONTENEGRO,1149.0,17906.297,15.58424456048738
2016,9,NETHERLANDS,47953.0,952417.221,19.861473129939732
2016,9,NORWAY,42431.0,259318.614,6.111536706653155
2016,9,POLAND,33661.0,227040.218,6.744904132378717
2016,9,PORTUGAL,35357.0,382766.911,10.825774556664877
2016,9,ROMANIA,10274.0,108868.993,10.596553727856726
2016,9,SERBIA,6138.0,35102.166,5.718827956989247
2016,9,SLOVAKIA,2233.0,17486.981,7.831160322436184
2016,9,SLOVENIA,3019.0,10370.99,3.4352401457436237
2016,9,SPAIN,177558.0,1542374.597,8.686595912321607
2016,9,SWEDEN,33368.0,279070.56,8.363418844401822
2016,9,SWITZERLAND,39717.0,473688.664,11.92659727572576
2016,9,TÜRKIYE,91805.0,1300449.746,14.165347704373401
2016,9,UNITED KINGDOM,186415.0,3238162.083,17.370716321111498
2016,10,ALBANIA,2021.0,9865.575,4.881531420089066
2016,10,ARMENIA,1789.0,18338.775,10.250852431525994
2016,10,AUSTRIA,27978.0,215461.438,7.701102223175352
2016,10,BELGIUM,28520.0,339721.697,11.911700455820476
2016,10,BOSNIA AND HERZEGOVINA,918.0,6414.0380000000005,6.986969498910676
2016,10,BULGARIA,4705.0,45732.783,9.720038894792774
2016,10,CROATIA,3668.0,43525.809,11.86636014176663
2016,10,CYPRUS,7575.0,101464.133,13.39460501650165
2016,10,DENMARK,24166.0,265116.229,10.970629355292559
2016,10,FINLAND,14552.0,185524.226,12.74905346344145
2016,10,FRANCE,157970.0,1770642.065,11.208723586756978
